category,price,color,brand,brand_group,base_color,has_out_of_stock,nb_sizes_total,nb_sizes_available,nb_sizes_out_of_stock,fully_out_of_stock,price_segment
outerwear,58.0,washed blue,ASOS DESIGN,ASOS DESIGN,grey,True,8,7,1,False,£50-100
outerwear,58.0,washed blue,ASOS DESIGN,ASOS DESIGN,grey,True,8,7,1,False,£50-100
outerwear,58.0,washed blue,ASOS DESIGN,ASOS DESIGN,grey,True,8,7,1,False,£50-100
outerwear,58.0,washed blue,ASOS DESIGN,ASOS DESIGN,grey,True,8,7,1,False,£50-100
outerwear,38.0,black,Vero Moda,Vero Moda,black,False,7,7,0,False,£20-50
outerwear,38.0,black,Vero Moda,Vero Moda,black,False,7,7,0,False,£20-50
outerwear,38.0,black,Vero Moda,Vero Moda,black,False,7,7,0,False,£20-50
outerwear,49.99,camel,New Look,New Look,other,False,6,6,0,False,£20-50
outerwear,49.99,camel,New Look,New Look,other,False,6,6,0,False,£20-50
outerwear,49.99,camel,New Look,New Look,other,False,6,6,0,False,£20-50
outerwear,49.99,camel,New Look,New Look,other,False,6,6,0,False,£20-50
outerwear,75.0,black,ASOS DESIGN,ASOS DESIGN,black,True,8,2,6,False,£50-100
outerwear,75.0,black,ASOS DESIGN,ASOS DESIGN,black,True,8,2,6,False,£50-100
outerwear,75.0,black,ASOS DESIGN,ASOS DESIGN,black,True,8,2,6,False,£50-100
outerwear,75.0,black,ASOS DESIGN,ASOS DESIGN,black,True,8,2,6,False,£50-100
outerwear,,mink,ASOS DESIGN,ASOS DESIGN,other,True,8,7,1,False,>£100
outerwear,,mink,ASOS DESIGN,ASOS DESIGN,other,True,8,7,1,False,>£100
outerwear,,mink,ASOS DESIGN,ASOS DESIGN,other,True,8,7,1,False,>£100
outerwear,,mink,ASOS DESIGN,ASOS DESIGN,other,True,8,7,1,False,>£100
outerwear,,washed brown,Topshop,Topshop,grey,False,8,8,0,False,>£100
outerwear,,washed brown,Topshop,Topshop,grey,False,8,8,0,False,>£100
outerwear,,washed brown,Topshop,Topshop,grey,False,8,8,0,False,>£100
outerwear,,washed brown,Topshop,Topshop,grey,False,8,8,0,False,>£100
outerwear,,sage,ASOS DESIGN,ASOS DESIGN,green,False,8,8,0,False,>£100
outerwear,,sage,ASOS DESIGN,ASOS DESIGN,green,False,8,8,0,False,>£100
outerwear,,sage,ASOS DESIGN,ASOS DESIGN,green,False,8,8,0,False,>£100
outerwear,,sage,ASOS DESIGN,ASOS DESIGN,green,False,8,8,0,False,>£100
outerwear,,midwash,ASOS DESIGN,ASOS DESIGN,grey,True,8,4,4,False,>£100
outerwear,,midwash,ASOS DESIGN,ASOS DESIGN,grey,True,8,4,4,False,>£100
outerwear,,midwash,ASOS DESIGN,ASOS DESIGN,grey,True,8,4,4,False,>£100
outerwear,,midwash,ASOS DESIGN,ASOS DESIGN,grey,True,8,4,4,False,>£100
outerwear,,black,Pimkie,Pimkie,black,False,5,5,0,False,>£100
outerwear,,black,Pimkie,Pimkie,black,False,5,5,0,False,>£100
outerwear,,black,Pimkie,Pimkie,black,False,5,5,0,False,>£100
outerwear,,khaki,Columbia,Columbia,green,True,5,4,1,False,>£100
outerwear,,khaki,Columbia,Columbia,green,True,5,4,1,False,>£100
outerwear,,khaki,Columbia,Columbia,green,True,5,4,1,False,>£100
outerwear,22.0,khaki,ASOS DESIGN,ASOS DESIGN,green,False,8,8,0,False,£20-50
outerwear,22.0,khaki,ASOS DESIGN,ASOS DESIGN,green,False,8,8,0,False,£20-50
outerwear,22.0,khaki,ASOS DESIGN,ASOS DESIGN,green,False,8,8,0,False,£20-50
outerwear,22.0,khaki,ASOS DESIGN,ASOS DESIGN,green,False,8,8,0,False,£20-50
outerwear,46.99,black,New Look,New Look,black,False,8,8,0,False,£20-50
outerwear,46.99,black,New Look,New Look,black,False,8,8,0,False,£20-50
outerwear,46.99,black,New Look,New Look,black,False,8,8,0,False,£20-50
outerwear,46.99,black,New Look,New Look,black,False,8,8,0,False,£20-50
outerwear,65.0,blue,ASOS DESIGN,ASOS DESIGN,blue,False,8,8,0,False,£50-100
outerwear,65.0,blue,ASOS DESIGN,ASOS DESIGN,blue,False,8,8,0,False,£50-100
outerwear,65.0,blue,ASOS DESIGN,ASOS DESIGN,blue,False,8,8,0,False,£50-100
